DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Daily Mean llc90 Grid (Version 4 Release 6)",ECCO_L4_DENS_STRAT_PRESS_LLC0090GRID_DAILY_V4R6,OCEAN_DENS_STRAT_PRESS_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-ODE46,V4r6
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6)",ECCO_L4_DENS_STRAT_PRESS_05DEG_MONTHLY_V4R6,OCEAN_DENS_STRAT_PRESS_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-ODE46,V4r6
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Monthly Mean llc90 Grid (Version 4 Release 6)",ECCO_L4_DENS_STRAT_PRESS_LLC0090GRID_MONTHLY_V4R6,OCEAN_DENS_STRAT_PRESS_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-ODE46,V4r6
ECCO Ocean Mixed Layer Depth - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_MIXED_LAYER_DEPTH_05DEG_DAILY_V4R6,OCEAN_MIXED_LAYER_DEPTH_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-OML46,V4r6
ECCO Ocean Mixed Layer Depth - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_MIXED_LAYER_DEPTH_LLC0090GRID_DAILY_V4R6,OCEAN_MIXED_LAYER_DEPTH_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-OML46,V4r6
ECCO Ocean Mixed Layer Depth - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_MIXED_LAYER_DEPTH_05DEG_MONTHLY_V4R6,OCEAN_MIXED_LAYER_DEPTH_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-OML46,V4r6
ECCO Ocean Mixed Layer Depth - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_MIXED_LAYER_DEPTH_LLC0090GRID_MONTHLY_V4R6,OCEAN_MIXED_LAYER_DEPTH_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-OML46,V4r6
ECCO Ocean Mixing Coefficients - 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_OCEAN_MIX_COEFFS_05DEG_V4R6,OCEAN_MIXING_COEFFS_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5A-MIX46,V4r6
ECCO Ocean Mixing Coefficients - llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MIX_COEFFS_LLC0090GRID_V4R6,OCEAN_MIXING_COEFFS_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5A-MIX46,V4r6
ECCO Ocean Momentum Advective Tendency in X - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_ADV_TEND_X_LLC0090GRID_DAILY_V4R6,OCEAN_MOMENTUM_ADV_TEND_X_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-XMA46,V4r6
ECCO Ocean Momentum Advective Tendency in X - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_ADV_TEND_X_LLC0090GRID_MONTHLY_V4R6,OCEAN_MOMENTUM_ADV_TEND_X_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-XMA46,V4r6
ECCO Ocean Momentum Advective Tendency in Y - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_ADV_TEND_Y_LLC0090GRID_DAILY_V4R6,OCEAN_MOMENTUM_ADV_TEND_Y_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-YMA46,V4r6
ECCO Ocean Momentum Advective Tendency in Y - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_ADV_TEND_Y_LLC0090GRID_MONTHLY_V4R6,OCEAN_MOMENTUM_ADV_TEND_Y_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-YMA46,V4r6
ECCO Ocean Momentum Dissipative Tendency in X - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_DISS_TEND_X_LLC0090GRID_DAILY_V4R6,OCEAN_MOMENTUM_DISS_TEND_X_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-XMD46,V4r6
ECCO Ocean Momentum Dissipative Tendency in X - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_DISS_TEND_X_LLC0090GRID_MONTHLY_V4R6,OCEAN_MOMENTUM_DISS_TEND_X_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-XMD46,V4r6
ECCO Ocean Momentum Dissipative Tendency in Y - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OCEAN_MOMENTUM_DISS_TEND_Y_LLC0090GRID_DAILY_V4R6,OCEAN_MOMENTUM_DISS_TEND_Y_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-YMD46,V4r6
