concept-id,DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
C1991543737-POCLOUD,ECCO Ocean Bottom Pressure - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OBP_LLC0090GRID_DAILY_V4r5,OCEAN_BOTTOM_PRESSURE_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-OBP44,V4r5
C1991543806-POCLOUD,ECCO Ocean Bottom Pressure - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OBP_LLC0090GRID_MONTHLY_V4r5,OCEAN_BOTTOM_PRESSURE_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-OBP44,V4r5
C1991543804-POCLOUD,ECCO Ocean Bottom Pressure - Snapshot llc90 Grid (Version 4 Release 5),ECCO_L4_OBP_LLC0090GRID_SNAPSHOT_V4r5,OCEAN_BOTTOM_PRESSURE_snap_1992-01-01T000000_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5S-OBP44,V4r5
C1991543726-POCLOUD,ECCO Ocean Momentum Tendency - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_TEND_LLC0090GRID_DAILY_V4r5,OCEAN_MOMENTUM_TEND_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-3MT44,V4r5
C1991543702-POCLOUD,ECCO Ocean Momentum Tendency - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_TEND_LLC0090GRID_MONTHLY_V4r5,OCEAN_MOMENTUM_TEND_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-3MT44,V4r5
C1991543814-POCLOUD,ECCO Ocean Salinity Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_SALINITY_FLUX_LLC0090GRID_DAILY_V4r5,OCEAN_SALINITY_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-3SF44,V4r5
C1991543752-POCLOUD,ECCO Ocean Salinity Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_SALINITY_FLUX_LLC0090GRID_MONTHLY_V4r5,OCEAN_SALINITY_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-3SF44,V4r5
C1991543812-POCLOUD,ECCO Ocean Potential Temperature Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_FLUX_LLC0090GRID_DAILY_V4r5,OCEAN_TEMPERATURE_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-3TF44,V4r5
C1991543740-POCLOUD,ECCO Ocean Potential Temperature Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_FLUX_LLC0090GRID_MONTHLY_V4r5,OCEAN_TEMPERATURE_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-3TF44,V4r5
C1991543699-POCLOUD,ECCO Ocean Volume Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_VOLUME_FLUX_LLC0090GRID_DAILY_V4r5,OCEAN_VOLUME_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-3VF44,V4r5
C1991543739-POCLOUD,ECCO Ocean Volume Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_VOLUME_FLUX_LLC0090GRID_MONTHLY_V4r5,OCEAN_VOLUME_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-3VF44,V4r5
C1991543818-POCLOUD,ECCO Gent-McWilliams Bolus Transport Streamfunction - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_BOLUS_STREAMFUNCTION_LLC0090GRID_DAILY_V4r5,OCEAN_BOLUS_STREAMFUNCTION_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-STF44,V4r5
C1991543733-POCLOUD,ECCO Gent-McWilliams Bolus Transport Streamfunction - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_BOLUS_STREAMFUNCTION_LLC0090GRID_MONTHLY_V4r5,OCEAN_BOLUS_STREAMFUNCTION_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-STF44,V4r5
C1990404811-POCLOUD,ECCO Ocean Velocity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OCEAN_VELOCITY_05DEG_DAILY_V4r5,OCEAN_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-OVE44,V4r5
C1990404823-POCLOUD,ECCO Ocean Velocity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OCEAN_VELOCITY_05DEG_MONTHLY_V4r5,OCEAN_VELOCITY_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-OVE44,V4r5
C1991543808-POCLOUD,ECCO Ocean Velocity - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_VELOCITY_LLC0090GRID_DAILY_V4r5,OCEAN_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-OVE44,V4r5
C1991543732-POCLOUD,ECCO Ocean Velocity - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_VELOCITY_LLC0090GRID_MONTHLY_V4r5,OCEAN_VELOCITY_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-OVE44,V4r5
C1991543766-POCLOUD,ECCO SBO Core Products - Snapshot (Version 4 Release 5),ECCO_L4_SBO_CORE_TIME_SERIES_SNAPSHOT_V4r5,SBO_CORE_PRODUCTS_snap_ECCO_V4r5_1D.nc,PODAAC-ECTSS-SBO44,V4r5
C1990404815-POCLOUD,ECCO Sea-Ice and Snow Concentration and Thickness - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_05DEG_DAILY_V4r5,SEA_ICE_CONC_THICKNESS_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-ICO44,V4r5
C1990404820-POCLOUD,ECCO Sea-Ice and Snow Concentration and Thickness - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_05DEG_MONTHLY_V4r5,SEA_ICE_CONC_THICKNESS_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-ICO44,V4r5
C1991543763-POCLOUD,ECCO Sea-Ice and Snow Concentration and Thickness - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_LLC0090GRID_DAILY_V4r5,SEA_ICE_CONC_THICKNESS_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-ICO44,V4r5
C1991543764-POCLOUD,ECCO Sea-Ice and Snow Concentration and Thickness - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_LLC0090GRID_MONTHLY_V4r5,SEA_ICE_CONC_THICKNESS_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-ICO44,V4r5
